image_name,class,height,width,channels,type,resolution,path
0.jpg,buildings,150,150,3,uint8,"(150, 150)",C:\Users\KHUSHI\OneDrive\Desktop\ProjectCognition3\Dataset\seg_train\seg_train\buildings\0.jpg
10006.jpg,buildings,150,150,3,uint8,"(150, 150)",C:\Users\KHUSHI\OneDrive\Desktop\ProjectCognition3\Dataset\seg_train\seg_train\buildings\10006.jpg
1001.jpg,buildings,150,150,3,uint8,"(150, 150)",C:\Users\KHUSHI\OneDrive\Desktop\ProjectCognition3\Dataset\seg_train\seg_train\buildings\1001.jpg
10014.jpg,buildings,150,150,3,uint8,"(150, 150)",C:\Users\KHUSHI\OneDrive\Desktop\ProjectCognition3\Dataset\seg_train\seg_train\buildings\10014.jpg
10018.jpg,buildings,150,150,3,uint8,"(150, 150)",C:\Users\KHUSHI\OneDrive\Desktop\ProjectCognition3\Dataset\seg_train\seg_train\buildings\10018.jpg
10029.jpg,buildings,150,150,3,uint8,"(150, 150)",C:\Users\KHUSHI\OneDrive\Desktop\ProjectCognition3\Dataset\seg_train\seg_train\buildings\10029.jpg
10032.jpg,buildings,150,150,3,uint8,"(150, 150)",C:\Users\KHUSHI\OneDrive\Desktop\ProjectCognition3\Dataset\seg_train\seg_train\buildings\10032.jpg
10056.jpg,buildings,150,150,3,uint8,"(150, 150)",C:\Users\KHUSHI\OneDrive\Desktop\ProjectCognition3\Dataset\seg_train\seg_train\buildings\10056.jpg
1009.jpg,buildings,150,150,3,uint8,"(150, 150)",C:\Users\KHUSHI\OneDrive\Desktop\ProjectCognition3\Dataset\seg_train\seg_train\buildings\1009.jpg
10113.jpg,buildings,150,150,3,uint8,"(150, 150)",C:\Users\KHUSHI\OneDrive\Desktop\ProjectCognition3\Dataset\seg_train\seg_train\buildings\10113.jpg
1012.jpg,buildings,150,150,3,uint8,"(150, 150)",C:\Users\KHUSHI\OneDrive\Desktop\ProjectCognition3\Dataset\seg_train\seg_train\buildings\1012.jpg
10126.jpg,buildings,150,150,3,uint8,"(150, 150)",C:\Users\KHUSHI\OneDrive\Desktop\ProjectCognition3\Dataset\seg_train\seg_train\buildings\10126.jpg
10144.jpg,buildings,150,150,3,uint8,"(150, 150)",C:\Users\KHUSHI\OneDrive\Desktop\ProjectCognition3\Dataset\seg_train\seg_train\buildings\10144.jpg
10151.jpg,buildings,150,150,3,uint8,"(150, 150)",C:\Users\KHUSHI\OneDrive\Desktop\ProjectCognition3\Dataset\seg_train\seg_train\buildings\10151.jpg
10161.jpg,buildings,150,150,3,uint8,"(150, 150)",C:\Users\KHUSHI\OneDrive\Desktop\ProjectCognition3\Dataset\seg_train\seg_train\buildings\10161.jpg
10165.jpg,buildings,150,150,3,uint8,"(150, 150)",C:\Users\KHUSHI\OneDrive\Desktop\ProjectCognition3\Dataset\seg_train\seg_train\buildings\10165.jpg
10176.jpg,buildings,150,150,3,uint8,"(150, 150)",C:\Users\KHUSHI\OneDrive\Desktop\ProjectCognition3\Dataset\seg_train\seg_train\buildings\10176.jpg
10184.jpg,buildings,150,150,3,uint8,"(150, 150)",C:\Users\KHUSHI\OneDrive\Desktop\ProjectCognition3\Dataset\seg_train\seg_train\buildings\10184.jpg
10185.jpg,buildings,150,150,3,uint8,"(150, 150)",C:\Users\KHUSHI\OneDrive\Desktop\ProjectCognition3\Dataset\seg_train\seg_train\buildings\10185.jpg
10191.jpg,buildings,150,150,3,uint8,"(150, 150)",C:\Users\KHUSHI\OneDrive\Desktop\ProjectCognition3\Dataset\seg_train\seg_train\buildings\10191.jpg
10196.jpg,buildings,150,150,3,uint8,"(150, 150)",C:\Users\KHUSHI\OneDrive\Desktop\ProjectCognition3\Dataset\seg_train\seg_train\buildings\10196.jpg
10198.jpg,buildings,150,150,3,uint8,"(150, 150)",C:\Users\KHUSHI\OneDrive\Desktop\ProjectCognition3\Dataset\seg_train\seg_train\buildings\10198.jpg
10205.jpg,buildings,150,150,3,uint8,"(150, 150)",C:\Users\KHUSHI\OneDrive\Desktop\ProjectCognition3\Dataset\seg_train\seg_train\buildings\10205.jpg
10210.jpg,buildings,150,150,3,uint8,"(150, 150)",C:\Users\KHUSHI\OneDrive\Desktop\ProjectCognition3\Dataset\seg_train\seg_train\buildings\10210.jpg
10228.jpg,buildings,150,150,3,uint8,"(150, 150)",C:\Users\KHUSHI\OneDrive\Desktop\ProjectCognition3\Dataset\seg_train\seg_train\buildings\10228.jpg
10231.jpg,buildings,150,150,3,uint8,"(150, 150)",C:\Users\KHUSHI\OneDrive\Desktop\ProjectCognition3\Dataset\seg_train\seg_train\buildings\10231.jpg
10251.jpg,buildings,150,150,3,uint8,"(150, 150)",C:\Users\KHUSHI\OneDrive\Desktop\ProjectCognition3\Dataset\seg_train\seg_train\buildings\10251.jpg
10252.jpg,buildings,150,150,3,uint8,"(150, 150)",C:\Users\KHUSHI\OneDrive\Desktop\ProjectCognition3\Dataset\seg_train\seg_train\buildings\10252.jpg
10257.jpg,buildings,150,150,3,uint8,"(150, 150)",C:\Users\KHUSHI\OneDrive\Desktop\ProjectCognition3\Dataset\seg_train\seg_train\buildings\10257.jpg
10266.jpg,buildings,150,150,3,uint8,"(150, 150)",C:\Users\KHUSHI\OneDrive\Desktop\ProjectCognition3\Dataset\seg_train\seg_train\buildings\10266.jpg
10278.jpg,buildings,150,150,3,uint8,"(150, 150)",C:\Users\KHUSHI\OneDrive\Desktop\ProjectCognition3\Dataset\seg_train\seg_train\buildings\10278.jpg
1028.jpg,buildings,150,150,3,uint8,"(150, 150)",C:\Users\KHUSHI\OneDrive\Desktop\ProjectCognition3\Dataset\seg_train\seg_train\buildings\1028.jpg
10295.jpg,buildings,150,150,3,uint8,"(150, 150)",C:\Users\KHUSHI\OneDrive\Desktop\ProjectCognition3\Dataset\seg_train\seg_train\buildings\10295.jpg
10303.jpg,buildings,150,150,3,uint8,"(150, 150)",C:\Users\KHUSHI\OneDrive\Desktop\ProjectCognition3\Dataset\seg_train\seg_train\buildings\10303.jpg
10306.jpg,buildings,150,150,3,uint8,"(150, 150)",C:\Users\KHUSHI\OneDrive\Desktop\ProjectCognition3\Dataset\seg_train\seg_train\buildings\10306.jpg
10310.jpg,buildings,150,150,3,uint8,"(150, 150)",C:\Users\KHUSHI\OneDrive\Desktop\ProjectCognition3\Dataset\seg_train\seg_train\buildings\10310.jpg
10312.jpg,buildings,150,150,3,uint8,"(150, 150)",C:\Users\KHUSHI\OneDrive\Desktop\ProjectCognition3\Dataset\seg_train\seg_train\buildings\10312.jpg
10316.jpg,buildings,150,150,3,uint8,"(150, 150)",C:\Users\KHUSHI\OneDrive\Desktop\ProjectCognition3\Dataset\seg_train\seg_train\buildings\10316.jpg
10318.jpg,buildings,150,150,3,uint8,"(150, 150)",C:\Users\KHUSHI\OneDrive\Desktop\ProjectCognition3\Dataset\seg_train\seg_train\buildings\10318.jpg
10328.jpg,buildings,150,150,3,uint8,"(150, 150)",C:\Users\KHUSHI\OneDrive\Desktop\ProjectCognition3\Dataset\seg_train\seg_train\buildings\10328.jpg
10350.jpg,buildings,150,150,3,uint8,"(150, 150)",C:\Users\KHUSHI\OneDrive\Desktop\ProjectCognition3\Dataset\seg_train\seg_train\buildings\10350.jpg
10357.jpg,buildings,150,150,3,uint8,"(150, 150)",C:\Users\KHUSHI\OneDrive\Desktop\ProjectCognition3\Dataset\seg_train\seg_train\buildings\10357.jpg
10362.jpg,buildings,150,150,3,uint8,"(150, 150)",C:\Users\KHUSHI\OneDrive\Desktop\ProjectCognition3\Dataset\seg_train\seg_train\buildings\10362.jpg
10367.jpg,buildings,150,150,3,uint8,"(150, 150)",C:\Users\KHUSHI\OneDrive\Desktop\ProjectCognition3\Dataset\seg_train\seg_train\buildings\10367.jpg
